Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,THAILAND,28.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,48,MYANMAR,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,27,AUSTRALIA,79.2,47.52,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,177,KENYA,128.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,3,SINGAPORE,35.0,0.0,35
JZI,Airlines,Online,Basic_Plan,no,2,VIETNAM,18.0,6.3,39
C2B,Airlines,Online,Silver_Plan,no,24,SINGAPORE,74.4,18.6,51
C2B,Airlines,Online,Bronze_Plan,no,27,SINGAPORE,16.0,4.0,18
EPX,Travel_Agency,Online,Cancellation_Plan,no,39,SOUTH_AFRICA,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,68,HONG_KONG,26.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,117,NEW_ZEALAND,20.0,0.0,23
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,42,CANADA,25.0,0.0,45
KML,Travel_Agency,Online,Value_Plan,no,9,NETHERLANDS,75.0,28.5,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,PHILIPPINES,20.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,216.75,54.19,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,CHINA,25.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,167,CHINA,26.0,9.1,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,69,FRANCE,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,54,AUSTRALIA,79.2,47.52,33
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,79,THAILAND,29.7,17.82,31
C2B,Airlines,Online,Silver_Plan,yes,39,SINGAPORE,22.5,5.63,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,MALAYSIA,32.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,17,CANADA,29.7,17.82,25
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,SINGAPORE,24.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,364,SINGAPORE,216.0,54.0,44
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,60,MALAYSIA,20.0,0.0,53
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,PORTUGAL,30.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,PHILIPPINES,24.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,14,THAILAND,18.0,6.3,29
SSI,Airlines,Online,Ticket_Protector,no,3,SINGAPORE,9.12,2.56,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,18,AUSTRALIA,19.8,11.88,30
EPX,Travel_Agency,Offline,2_way_Comprehensive_Plan,yes,10,MALAYSIA,20.0,0.0,99
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,MALAYSIA,20.0,0.0,57
EPX,Travel_Agency,Online,Cancellation_Plan,no,39,MALAYSIA,10.0,0.0,21
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,15,JAPAN,19.8,11.88,31
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,20,INDONESIA,20.0,0.0,29
JZI,Airlines,Online,Basic_Plan,no,9,CHINA,26.0,9.1,25
EPX,Travel_Agency,Online,Cancellation_Plan,no,56,UNITED_STATES,70.0,0.0,39
C2B,Airlines,Online,Silver_Plan,no,8,SINGAPORE,49.8,12.45,28
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Silver,no,126,JAPAN,26.5,17.23,59
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,70,AUSTRALIA,108.9,65.34,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,THAILAND,20.0,0.0,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,46,INDONESIA,18.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,366,SINGAPORE,216.0,54.0,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,NEW_ZEALAND,112.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,38,INDONESIA,18.0,6.3,35
C2B,Airlines,Online,Bronze_Plan,no,9,SINGAPORE,20.0,5.0,47
KML,Travel_Agency,Online,Value_Plan,no,10,INDONESIA,28.0,10.64,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,53,UNITED_STATES,49.5,29.7,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,224,"TAIWAN,_PROVINCE_OF_CHINA",37.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,10,SINGAPORE,105.6,26.4,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,92,MALAYSIA,27.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,23.5,5.88,22
JZI,Airlines,Online,Basic_Plan,no,19,HONG_KONG,40.0,14.0,44
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,AUSTRALIA,59.4,35.64,56
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,40,INDONESIA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,AUSTRALIA,39.6,23.76,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,60,AUSTRALIA,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,CHINA,54.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,364,SINGAPORE,216.0,54.0,27
SSI,Airlines,Online,Ticket_Protector,no,29,SINGAPORE,3.47,0.97,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,VIETNAM,23.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,26,THAILAND,33.0,11.55,60
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,FINLAND,59.4,35.64,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,69,VIETNAM,18.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,33,FRANCE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,GERMANY,10.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,34,SINGAPORE,20.0,0.0,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,PHILIPPINES,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,SINGAPORE,10.0,0.0,35
JZI,Airlines,Online,Basic_Plan,no,7,INDONESIA,18.0,6.3,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,GERMANY,19.8,11.88,38
C2B,Airlines,Online,Bronze_Plan,no,9,SINGAPORE,16.0,4.0,24
JZI,Airlines,Online,Basic_Plan,no,6,PHILIPPINES,18.0,6.3,47
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,5,MALAYSIA,29.7,17.82,39
C2B,Airlines,Online,Silver_Plan,no,16,SINGAPORE,72.0,18.0,40
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,13.5,3.38,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,41,GERMANY,9.9,5.94,38
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,INDONESIA,23.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,4,MALAYSIA,-19.8,11.88,54
C2B,Airlines,Online,Bronze_Plan,no,23,SINGAPORE,39.0,9.75,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,100,MALDIVES,26.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,30,MACAO,17.0,0.0,65
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,156,PHILIPPINES,20.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,5,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,PHILIPPINES,39.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,44,PORTUGAL,80.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,75,UNITED_KINGDOM,57.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,1,CAMBODIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,21,INDIA,29.0,0.0,36
RAB,Airlines,Online,Value_Plan,no,21,BRUNEI_DARUSSALAM,15.0,6.0,59
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,24,SPAIN,112.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,UNITED_STATES,112.0,0.0,20
C2B,Airlines,Online,Bronze_Plan,no,45,SINGAPORE,33.5,8.38,26
C2B,Airlines,Online,Silver_Plan,no,17,SINGAPORE,81.0,20.25,3
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,48,UNITED_STATES,80.0,0.0,47
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,MYANMAR,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,50,"KOREA,_REPUBLIC_OF",26.0,9.1,39
C2B,Airlines,Online,Bronze_Plan,no,53,SINGAPORE,0.0,5.53,27
C2B,Airlines,Online,Silver_Plan,no,26,SINGAPORE,47.5,11.88,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,THAILAND,10.0,0.0,53
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,UNITED_STATES,14.0,0.0,42
C2B,Airlines,Online,Bronze_Plan,no,8,SINGAPORE,23.5,5.88,31
C2B,Airlines,Online,Silver_Plan,no,13,SINGAPORE,19.5,4.88,34
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,16.0,4.0,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,159,AUSTRALIA,39.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,JAPAN,13.0,0.0,33
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,UNITED_STATES,20.0,0.0,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,35,AUSTRALIA,79.2,47.52,38
EPX,Travel_Agency,Online,Cancellation_Plan,no,54,CANADA,10.0,0.0,20
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,MALAYSIA,19.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,CHINA,112.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,6,SINGAPORE,18.5,4.63,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,113,FRANCE,71.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,116,INDIA,10.0,0.0,34
C2B,Airlines,Online,Silver_Plan,no,23,SINGAPORE,72.0,18.0,23
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,MALAYSIA,20.0,0.0,39
JZI,Airlines,Online,Basic_Plan,no,4,CHINA,0.0,7.7,71
RAB,Airlines,Online,Value_Plan,no,3,BRUNEI_DARUSSALAM,15.0,6.0,49
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,51,AUSTRALIA,79.2,47.52,63
C2B,Airlines,Online,Annual_Silver_Plan,no,370,SINGAPORE,216.0,54.0,57
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,36,PHILIPPINES,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,18,CHINA,26.0,9.1,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,THAILAND,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,JAPAN,68.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,13,CHINA,31.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,84,CHINA,32.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,15,THAILAND,30.0,10.5,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,SINGAPORE,10.0,0.0,41
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,45,AUSTRALIA,69.3,41.58,50
C2B,Airlines,Online,Bronze_Plan,no,15,SINGAPORE,33.5,8.38,60
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,SINGAPORE,10.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,12,SINGAPORE,43.55,10.89,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,12,AUSTRALIA,99.0,59.4,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,MALAYSIA,12.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,SINGAPORE,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,92,CHINA,29.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,12,SINGAPORE,49.0,12.25,23
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,9,MALAYSIA,39.6,23.76,36
C2B,Airlines,Online,Silver_Plan,no,44,SINGAPORE,41.5,10.38,46
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,55,SWITZERLAND,59.4,35.64,49
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,68,UNITED_STATES,76.0,0.0,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,38,SWITZERLAND,66.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,75,JAPAN,66.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,40,UNITED_STATES,16.0,0.0,25
EPX,Travel_Agency,Online,Cancellation_Plan,no,43,"KOREA,_REPUBLIC_OF",27.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,109,AUSTRALIA,21.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,AUSTRALIA,59.4,35.64,29
JZI,Airlines,Online,Basic_Plan,no,71,INDONESIA,22.0,7.7,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,THAILAND,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,INDONESIA,28.0,0.0,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Gold,no,6,UNITED_ARAB_EMIRATES,40.0,26.0,34
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,54,JAPAN,29.7,17.82,34
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,31,AUSTRALIA,69.3,41.58,31
C2B,Airlines,Online,Silver_Plan,no,18,SINGAPORE,18.5,4.63,47
JWT,Airlines,Online,Value_Plan,no,16,INDIA,31.0,12.4,99
ART,Airlines,Online,24_Protect,no,3,SINGAPORE,12.5,4.38,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,ITALY,41.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,6,SINGAPORE,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,26,VIETNAM,20.0,0.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,87,JAPAN,44.0,0.0,24
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,48,AUSTRALIA,0.0,5.94,29
CSR,Travel_Agency,Offline,Premier_Plan,no,29,MALAYSIA,58.0,19.14,74
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,CHINA,36.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,AUSTRALIA,39.6,23.76,60
EPX,Travel_Agency,Online,Cancellation_Plan,no,32,SINGAPORE,80.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,MALAYSIA,10.0,0.0,58
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,13,CHINA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,17,MALAYSIA,0.0,23.76,25
EPX,Travel_Agency,Online,Cancellation_Plan,no,45,THAILAND,10.0,0.0,26
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,23,THAILAND,30.0,10.5,52
C2B,Airlines,Online,Annual_Silver_Plan,no,375,SINGAPORE,193.2,48.3,51
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,4,MALAYSIA,20.0,0.0,53
C2B,Airlines,Online,Silver_Plan,no,6,SINGAPORE,15.0,3.75,47
JZI,Airlines,Online,Value_Plan,no,7,GERMANY,87.0,30.45,57
C2B,Airlines,Online,Silver_Plan,no,59,SINGAPORE,63.5,15.88,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,23,AUSTRALIA,40.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,2,SINGAPORE,11.5,2.88,33
C2B,Airlines,Online,Bronze_Plan,no,17,SINGAPORE,39.0,9.75,35
JZI,Airlines,Online,Basic_Plan,no,74,CHINA,0.0,9.1,45
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,17,THAILAND,20.0,0.0,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,34,"TAIWAN,_PROVINCE_OF_CHINA",39.0,0.0,36
C2B,Airlines,Online,Gold_Plan,no,14,SINGAPORE,57.5,14.38,51
JZI,Airlines,Online,Basic_Plan,no,6,CHINA,26.0,9.1,70
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,CYPRUS,19.8,11.88,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,JAPAN,56.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,4,INDONESIA,18.0,6.3,59
C2B,Airlines,Online,Silver_Plan,no,193,SINGAPORE,67.8,16.95,28
KML,Travel_Agency,Online,Value_Plan,no,12,INDONESIA,22.0,8.36,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,100,NEW_ZEALAND,108.9,65.34,37
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,SINGAPORE,10.0,0.0,20
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,9,GERMANY,69.3,41.58,39
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Silver,no,9,MALAYSIA,25.0,16.25,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,THAILAND,24.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,56,HONG_KONG,25.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,10,VIETNAM,0.0,7.7,45
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,PHILIPPINES,39.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,62,"TAIWAN,_PROVINCE_OF_CHINA",22.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,THAILAND,24.0,0.0,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,19,AUSTRALIA,59.4,35.64,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,33,AUSTRALIA,69.3,41.58,42
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,16,SWITZERLAND,29.7,17.82,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,122,PORTUGAL,54.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,43,INDONESIA,20.0,0.0,43
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,110,AUSTRALIA,19.8,11.88,28
C2B,Airlines,Online,Silver_Plan,no,7,SINGAPORE,22.5,5.63,68
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,18,AUSTRALIA,118.8,71.28,41
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,"KOREA,_REPUBLIC_OF",0.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,AUSTRALIA,49.5,29.7,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,CHINA,42.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,22,UNITED_KINGDOM,31.0,10.85,55
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,HONG_KONG,19.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,22,"KOREA,_REPUBLIC_OF",31.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,INDONESIA,27.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,5,THAILAND,20.0,0.0,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,MALAYSIA,-29.7,17.82,29
JZI,Airlines,Online,Basic_Plan,no,36,NEW_ZEALAND,22.0,7.7,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,34,THAILAND,20.0,0.0,32
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,THAILAND,10.0,0.0,24
EPX,Travel_Agency,Online,Cancellation_Plan,no,76,SINGAPORE,10.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,12,MALAYSIA,29.7,17.82,31
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,22,MOROCCO,79.2,47.52,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,"TAIWAN,_PROVINCE_OF_CHINA",27.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,32,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,CHINA,19.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,55,MALAYSIA,10.0,0.0,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,166,MALAYSIA,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,32,THAILAND,22.0,7.7,30
C2B,Airlines,Online,Bronze_Plan,no,92,SINGAPORE,178.0,44.5,62
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,123,THAILAND,20.0,0.0,35
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,38,MALAYSIA,30.0,10.5,43
EPX,Travel_Agency,Online,Cancellation_Plan,no,19,CHILE,80.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,8,VIETNAM,22.0,7.7,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,INDONESIA,46.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,CHINA,42.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,SINGAPORE,26.0,0.0,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,20,VIETNAM,65.0,0.0,55
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,18,SINGAPORE,112.0,0.0,52
JZI,Airlines,Online,Value_Plan,no,28,UNITED_STATES,138.0,48.3,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,MYANMAR,15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,88,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,CHINA,79.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,84,THAILAND,43.0,0.0,44
EPX,Travel_Agency,Online,Cancellation_Plan,no,11,"TAIWAN,_PROVINCE_OF_CHINA",14.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,32,MALAYSIA,22.0,7.7,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,30,JAPAN,57.0,0.0,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,77,SINGAPORE,62.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,63,SINGAPORE,20.0,0.0,34
C2B,Airlines,Online,Bronze_Plan,no,17,SINGAPORE,34.5,8.63,53
JZI,Airlines,Online,Basic_Plan,no,18,CHINA,26.0,9.1,61
KML,Travel_Agency,Online,Value_Plan,no,79,INDONESIA,22.0,8.36,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,36,INDIA,21.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,16,UNITED_KINGDOM,63.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,THAILAND,23.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,LAO,42.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,CHINA,22.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,12,THAILAND,18.0,6.3,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,MALAYSIA,21.0,0.0,60
SSI,Airlines,Online,Ticket_Protector,no,147,SINGAPORE,2.47,0.69,48
C2B,Airlines,Online,Gold_Plan,no,70,SINGAPORE,112.5,28.13,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,27,PHILIPPINES,21.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,20.0,5.0,44
SSI,Airlines,Online,Ticket_Protector,no,21,SINGAPORE,0.74,0.21,48
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,16.0,4.0,29
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,30,ITALY,0.0,41.58,51
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,2,AUSTRALIA,9.9,5.94,56
RAB,Airlines,Online,Value_Plan,no,5,BRUNEI_DARUSSALAM,15.0,6.0,43
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,14,UNITED_STATES,79.2,47.52,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,1,MALAYSIA,9.9,5.94,37
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,237,INDONESIA,27.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,HONG_KONG,20.0,0.0,39
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,216.0,54.0,35
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Gold,no,14,"TAIWAN,_PROVINCE_OF_CHINA",36.5,23.73,39
CBH,Travel_Agency,Offline,Comprehensive_Plan,no,130,MALAYSIA,29.0,9.57,67
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,THAILAND,10.0,0.0,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,95,MALAYSIA,20.0,0.0,36
ART,Airlines,Online,24_Protect,no,18,PHILIPPINES,4.98,1.74,48
JZI,Airlines,Online,Basic_Plan,no,33,PHILIPPINES,52.0,18.2,43
C2B,Airlines,Online,Bronze_Plan,no,7,SINGAPORE,18.0,4.5,39
